cmn_code,country_sub_continent_code,,
EC,5,update cmn_region set sub_continent_id=5 where id='EC';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC',"
EG,15,update cmn_region set sub_continent_id=15 where id='EG';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG',"
SV,13,update cmn_region set sub_continent_id=13 where id='SV';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV',"
GQ,17,update cmn_region set sub_continent_id=17 where id='GQ';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ',"
EE,154,update cmn_region set sub_continent_id=154 where id='EE';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE',"
ET,14,update cmn_region set sub_continent_id=14 where id='ET';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET',"
FI,154,update cmn_region set sub_continent_id=154 where id='FI';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI',"
FR,155,update cmn_region set sub_continent_id=155 where id='FR';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR',"
GA,17,update cmn_region set sub_continent_id=17 where id='GA';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA',"
GM,11,update cmn_region set sub_continent_id=11 where id='GM';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM',"
GE,145,update cmn_region set sub_continent_id=145 where id='GE';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE',"
DE,155,update cmn_region set sub_continent_id=155 where id='DE';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE',"
GH,11,update cmn_region set sub_continent_id=11 where id='GH';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH',"
GR,39,update cmn_region set sub_continent_id=39 where id='GR';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR',"
GT,13,update cmn_region set sub_continent_id=13 where id='GT';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT',"
GN,11,update cmn_region set sub_continent_id=11 where id='GN';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN',"
GW,11,update cmn_region set sub_continent_id=11 where id='GW';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW',"
GY,5,update cmn_region set sub_continent_id=5 where id='GY';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY',"
HT,29,update cmn_region set sub_continent_id=29 where id='HT';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT',"
HN,13,update cmn_region set sub_continent_id=13 where id='HN';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN',"
HK,30,update cmn_region set sub_continent_id=30 where id='HK';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK',"
HU,151,update cmn_region set sub_continent_id=151 where id='HU';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU',"
IS,154,update cmn_region set sub_continent_id=154 where id='IS';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS',"
IN,34,update cmn_region set sub_continent_id=34 where id='IN';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN',"
ID,35,update cmn_region set sub_continent_id=35 where id='ID';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID',"
IR,34,update cmn_region set sub_continent_id=34 where id='IR';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR',"
IQ,145,update cmn_region set sub_continent_id=145 where id='IQ';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ',"
IE,154,update cmn_region set sub_continent_id=154 where id='IE';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE',"
IL,145,update cmn_region set sub_continent_id=145 where id='IL';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL',"
