cmn_code,country_sub_continent_code,,
QA,145,update cmn_region set sub_continent_id=145 where id='QA';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA',"
RO,151,update cmn_region set sub_continent_id=151 where id='RO';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO',"
RU,151,update cmn_region set sub_continent_id=151 where id='RU';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU',"
RW,14,update cmn_region set sub_continent_id=14 where id='RW';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW',"
SA,145,update cmn_region set sub_continent_id=145 where id='SA';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA',"
SN,11,update cmn_region set sub_continent_id=11 where id='SN';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN',"
RS,39,update cmn_region set sub_continent_id=39 where id='RS';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS',"
SL,11,update cmn_region set sub_continent_id=11 where id='SL';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL',"
SG,35,update cmn_region set sub_continent_id=35 where id='SG';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG',"
SK,151,update cmn_region set sub_continent_id=151 where id='SK';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK',"
SI,39,update cmn_region set sub_continent_id=39 where id='SI';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI',"
ZA,18,update cmn_region set sub_continent_id=18 where id='ZA';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA',"
ES,39,update cmn_region set sub_continent_id=39 where id='ES';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES',"
LK,34,update cmn_region set sub_continent_id=34 where id='LK';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK',"
SD,15,update cmn_region set sub_continent_id=15 where id='SD';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD',"
SR,5,update cmn_region set sub_continent_id=5 where id='SR';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR',"
SZ,18,update cmn_region set sub_continent_id=18 where id='SZ';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ',"
SE,154,update cmn_region set sub_continent_id=154 where id='SE';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE',"
CH,155,update cmn_region set sub_continent_id=155 where id='CH';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE','CH',"
SY,145,update cmn_region set sub_continent_id=145 where id='SY';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE','CH','SY',"
TJ,143,update cmn_region set sub_continent_id=143 where id='TJ';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE','CH','SY','TJ',"
TZ,14,update cmn_region set sub_continent_id=14 where id='TZ';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE','CH','SY','TJ','TZ',"
TH,35,update cmn_region set sub_continent_id=35 where id='TH';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE','CH','SY','TJ','TZ','TH',"
TL,35,update cmn_region set sub_continent_id=35 where id='TL';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE','CH','SY','TJ','TZ','TH','TL',"
TG,11,update cmn_region set sub_continent_id=11 where id='TG';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE','CH','SY','TJ','TZ','TH','TL','TG',"
TT,29,update cmn_region set sub_continent_id=29 where id='TT';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE','CH','SY','TJ','TZ','TH','TL','TG','TT',"
TN,15,update cmn_region set sub_continent_id=15 where id='TN';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE','CH','SY','TJ','TZ','TH','TL','TG','TT','TN',"
TR,145,update cmn_region set sub_continent_id=145 where id='TR';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE','CH','SY','TJ','TZ','TH','TL','TG','TT','TN','TR',"
TM,143,update cmn_region set sub_continent_id=143 where id='TM';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE','CH','SY','TJ','TZ','TH','TL','TG','TT','TN','TR','TM',"
UG,14,update cmn_region set sub_continent_id=14 where id='UG';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE','CH','SY','TJ','TZ','TH','TL','TG','TT','TN','TR','TM','UG',"
